LEDGER_COUNTRY_NAME;国家;;;;;;;;;;X
LEDGER_COUNTRY_MILSCORE;军事分数;;;;;;;;;;X
LEDGER_COUNTRY_INDSCORE;工业分数;;;;;;;;;;X
LEDGER_COUNTRY_PRESTIGE;威望;;;;;;;;;;X
LEDGER_COUNTRY_TOTALSCORE;总分数;;;;;;;;;;X
LEDGER_HEADER_PROVINCES;省份;;;;;;;;;;X
LEDGER_PROVINCE_NAME;省份;;;;;;;;;;X
LEDGER_PROVINCE_TOTALPOP;总人口;;;;;;;;;;X
LEDGER_PROVINCE_AVGMIL;平均斗争性;;;;;;;;;;X
LEDGER_PROVINCE_AVGCON;平均觉醒度;;;;;;;;;;X
LEDGER_PROVINCE_AVGLIT;平均识字率;;;;;;;;;;X
LEDGER_PROVINCE_RELIGION;信仰;;;;;;;;;;X
LEDGER_PROVINCE_CULTURE;民族;;;;;;;;;;X
LEDGER_PROVINCE_ISSUE;政见;;;;;;;;;;X
LEDGER_PROVINCE_IDEOLOGY;意识形态;;;;;;;;;;X
LEDGER_HEADER_PROVINCE_POPS;省份人口;;;;;;;;;;X
LEDGER_HEADER_ARMY;军队;;;;;;;;;;X
LEDGER_ARMY_NAME;军队;;;;;;;;;;X
LEDGER_ARMY_INFANTRY;步兵;;;;;;;;;;X
LEDGER_ARMY_CAVALRY;骑兵;;;;;;;;;;X
LEDGER_ARMY_ARTILLERY;炮兵;;;;;;;;;;X
LEDGER_HEADER_GOODS_PRICEHISTORY;价格历史;;;;;;;;;;X
LEDGER_COUNTRY_STATUS;地位;;;;;;;;;;X
LEDGER_HEADER_COUNTRYCOMPARE;国家对比;;;;;;;;;;X
LEDGER_COUNTRY_TOTAL_POP;总人口;;;;;;;;;;X
LEDGER_COUNTRY_PROVCOUNT;省份;;;;;;;;;;X
LEDGER_COUNTRY_FACTORYCOUNT;工厂;;;;;;;;;;X
LEDGER_COUNTRY_LITERACY;识字率;;;;;;;;;;X
LEDGER_COUNTRY_LEADERSHIP;领导力;;;;;;;;;;X
LEDGER_COUNTRY_DIVISIONS;步兵旅;;;;;;;;;;X
LEDGER_COUNTRY_SHIPS;海军舰船;;;;;;;;;;X
LEDGER_HEADER_COUNTRYPARTY;政治制度;;;;;;;;;;X
LEDGER_COUNTRY_GOVERNMENT;政体;;;;;;;;;;X
LEDGER_COUNTRY_NATIONALVALUE;国家价值;;;;;;;;;;X
LEDGER_COUNTRY_RULINGPARTY;执政党;;;;;;;;;;X
LEDGER_COUNTRY_RULINGIDEOLOGY;执政党意识形态;;;;;;;;;;X
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;政治改革;;;;;;;;;;X
LEDGER_HEADER_COUNTRYSOCIALREFORMS;社会改革;;;;;;;;;;X
LEDGER_HEADER_COUNTRY_POPS;国家人口;;;;;;;;;;X
LEDGER_HEADER_PROVINCEPRODUCTION;省份生产;;;;;;;;;;X
LEDGER_STATE_NAME;地区;;;;;;;;;;X
LEDGER_GOODS;物资;;;;;;;;;;X
LEDGER_OUTPUT;产量;;;;;;;;;;X
LEDGER_INCOME;收益;;;;;;;;;;X
